Latitude (decimal degrees):	3.156
Longitude (decimal degrees):	101.691
Elevation (m):	66
Radiation database:	PVGIS-ERA5


Slope: 0 deg. (optimum)
Azimuth: -1 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0

P: PV system power (W)
G(i): Global irradiance on the inclined plane (plane of the array) (W/m2)
H_sun: Sun height (degree)
T2m: 2-m air temperature (degree Celsius)
WS10m: 10-m total wind speed (m/s)
Int: 1 means solar radiation values are reconstructed



PVGIS (c) European Union, 2001-2026

time,P,G(i),H_sun,T2m,WS10m,Int
20230507:0530,426.44,557.64,75.46,28.78,2.21,0.0
20230507:0630,566.18,748.29,66.04,29.05,2.62,0.0
20230507:0730,421.86,550.6,52.98,29.87,2.55,0.0
20230507:0830,380.57,497.27,39.03,29.6,2.76,0.0
20230507:0930,205.84,282.15,24.78,29.46,2.69,0.0
20230507:1030,53.13,95.35,10.44,29.07,1.93,0.0
20230507:1130,0.0,0.0,-3.91,28.42,0.97,0.0
20230507:1230,0.0,0.0,0.0,27.62,0.34,0.0
20230507:1330,0.0,0.0,0.0,26.81,0.76,0.0
20230507:1430,0.0,0.0,0.0,25.96,1.31,0.0
20230507:1530,0.0,0.0,0.0,25.48,1.38,0.0
20230507:1630,0.0,0.0,0.0,25.16,1.52,0.0
20230507:1730,0.0,0.0,0.0,24.92,1.38,0.0
20230507:1830,0.0,0.0,0.0,24.87,1.31,0.0
20230507:1930,0.0,0.0,0.0,25.57,0.97,0.0
20230507:2030,0.0,0.0,0.0,25.24,1.03,0.0
20230507:2130,0.0,0.0,0.0,25.06,1.03,0.0
20230507:2230,0.0,0.0,0.0,24.78,1.17,0.0
20230507:2330,11.08,26.25,5.74,24.54,1.38,0.0
20230508:0030,186.57,263.08,20.09,25.54,1.17,0.0
20230508:0130,262.43,345.23,34.36,27.58,1.86,0.0
20230508:0230,444.19,578.14,48.41,28.13,2.0,0.0
20230508:0330,515.6,675.19,61.83,29.12,2.69,0.0
20230508:0430,646.42,859.46,72.98,29.59,3.03,0.0
20230508:0530,662.69,881.86,75.2,30.04,3.31,0.0
20230508:0630,621.01,820.35,65.87,30.08,3.38,0.0
20230508:0730,514.0,674.01,52.88,31.35,3.38,0.0
20230508:0830,403.79,526.8,38.97,30.73,3.59,0.0
20230508:0930,230.15,315.22,24.75,30.38,3.45,0.0
20230508:1030,58.86,107.12,10.42,29.76,2.62,0.0
20230508:1130,0.0,0.0,-3.9,28.78,2.14,0.0
20230508:1230,0.0,0.0,0.0,27.88,1.86,0.0
20230508:1330,0.0,0.0,0.0,27.25,1.59,0.0
20230508:1430,0.0,0.0,0.0,26.63,1.31,0.0
20230508:1530,0.0,0.0,0.0,26.2,1.45,0.0
20230508:1630,0.0,0.0,0.0,25.81,1.59,0.0
20230508:1730,0.0,0.0,0.0,25.5,1.72,0.0
20230508:1830,0.0,0.0,0.0,25.26,1.79,0.0
20230508:1930,0.0,0.0,0.0,25.35,1.86,0.0
20230508:2030,0.0,0.0,0.0,25.57,2.14,0.0
20230508:2130,0.0,0.0,0.0,25.24,1.93,0.0
20230508:2230,0.0,0.0,0.0,24.88,1.66,0.0
20230508:2330,12.76,28.8,5.76,24.57,1.66,0.0
20230509:0030,156.66,219.78,20.09,25.05,1.24,0.0
20230509:0130,298.71,392.96,34.34,27.0,1.1,0.0
20230509:0230,469.86,622.38,48.35,28.28,1.1,0.0
20230509:0330,522.67,692.89,61.72,29.39,1.93,0.0
20230509:0430,663.71,895.55,72.77,29.96,2.34,0.0
20230509:0530,625.59,837.67,74.94,30.71,2.83,0.0
20230509:0630,671.04,900.98,65.72,30.84,2.97,0.0
20230509:0730,564.07,751.08,52.78,31.6,2.69,0.0
20230509:0830,413.31,546.5,38.91,31.43,2.55,0.0
20230509:0930,244.46,336.66,24.71,30.93,2.21,0.0
20230509:1030,56.05,104.07,10.41,30.43,1.59,0.0
20230509:1130,0.0,0.0,-3.89,29.58,0.76,0.0
20230509:1230,0.0,0.0,0.0,28.79,0.41,0.0
20230509:1330,0.0,0.0,0.0,27.31,1.17,0.0
20230509:1430,0.0,0.0,0.0,26.35,1.38,0.0
20230509:1530,0.0,0.0,0.0,25.83,1.38,0.0
20230509:1630,0.0,0.0,0.0,25.4,1.45,0.0
20230509:1730,0.0,0.0,0.0,24.94,1.38,0.0
20230509:1830,0.0,0.0,0.0,24.61,1.38,0.0
20230509:1930,0.0,0.0,0.0,25.86,1.24,0.0
20230509:2030,0.0,0.0,0.0,25.41,1.31,0.0
20230509:2130,0.0,0.0,0.0,25.0,1.38,0.0
20230509:2230,0.0,0.0,0.0,24.76,1.45,0.0
20230509:2330,16.15,33.8,5.78,24.51,1.52,0.0
20230510:0030,187.98,263.84,20.09,25.3,1.03,0.0
20230510:0130,368.03,490.41,34.31,28.61,0.69,0.0
20230510:0230,488.92,650.46,48.29,29.85,1.38,0.0
20230510:0330,566.29,757.06,61.61,30.55,2.0,0.0
20230510:0430,661.39,898.7,72.57,30.91,2.21,0.0
20230510:0530,612.77,825.76,74.69,31.33,2.21,0.0
20230510:0630,579.69,779.71,65.56,31.32,2.07,0.0
20230510:0730,521.47,694.0,52.69,31.69,2.34,0.0
20230510:0830,348.31,460.72,38.85,31.43,2.07,0.0
20230510:0930,215.41,298.32,24.68,30.93,2.07,0.0
20230510:1030,46.96,92.92,10.4,30.11,1.72,0.0
20230510:1130,0.0,0.0,-3.88,29.07,0.97,0.0
20230510:1230,0.0,0.0,0.0,28.15,0.55,0.0
20230510:1330,0.0,0.0,0.0,27.5,0.41,0.0
20230510:1430,0.0,0.0,0.0,26.94,0.62,0.0
20230510:1530,0.0,0.0,0.0,26.15,0.97,0.0
20230510:1630,0.0,0.0,0.0,25.66,1.17,0.0
20230510:1730,0.0,0.0,0.0,25.39,1.17,0.0
20230510:1830,0.0,0.0,0.0,25.07,1.24,0.0
20230510:1930,0.0,0.0,0.0,25.54,1.31,0.0
20230510:2030,0.0,0.0,0.0,25.61,1.31,0.0
20230510:2130,0.0,0.0,0.0,25.33,1.03,0.0
20230510:2230,0.0,0.0,0.0,25.09,0.97,0.0
20230510:2330,9.42,23.7,5.8,24.91,0.83,0.0
20230511:0030,165.3,235.55,20.08,25.85,0.62,0.0
20230511:0130,360.79,479.46,34.28,27.96,0.55,0.0
20230511:0230,456.49,613.37,48.23,29.39,0.28,0.0
20230511:0330,476.8,640.99,61.49,30.24,0.69,0.0
20230511:0430,631.92,879.29,72.36,30.64,0.62,0.0
20230511:0530,619.3,869.2,74.45,31.4,0.34,0.0
20230511:0630,545.44,749.01,65.41,31.65,0.62,0.0
20230511:0730,467.07,628.72,52.6,32.54,1.38,0.0
20230511:0830,397.22,526.45,38.79,30.82,1.72,0.0
20230511:0930,193.64,269.75,24.65,31.08,1.79,0.0
20230511:1030,54.19,103.91,10.39,30.4,1.72,0.0
20230511:1130,0.0,0.0,-3.87,28.87,0.69,0.0
20230511:1230,0.0,0.0,0.0,27.26,0.21,0.0
20230511:1330,0.0,0.0,0.0,26.69,0.41,0.0
20230511:1430,0.0,0.0,0.0,26.47,0.76,0.0
20230511:1530,0.0,0.0,0.0,26.02,0.97,0.0
20230511:1630,0.0,0.0,0.0,25.93,1.03,0.0
20230511:1730,0.0,0.0,0.0,25.72,1.17,0.0
20230511:1830,0.0,0.0,0.0,25.51,1.24,0.0
20230511:1930,0.0,0.0,0.0,25.53,1.66,0.0
20230511:2030,0.0,0.0,0.0,25.05,0.83,0.0
20230511:2130,0.0,0.0,0.0,24.8,0.9,0.0
20230511:2230,0.0,0.0,0.0,24.66,1.03,0.0
20230511:2330,7.0,19.75,5.81,24.37,0.97,0.0
20230512:0030,181.26,256.63,20.08,25.23,0.9,0.0
20230512:0130,359.0,473.61,34.25,27.16,0.76,0.0
20230512:0230,443.8,587.23,48.17,28.58,0.9,0.0
20230512:0330,526.62,705.32,61.38,29.79,1.17,0.0
20230512:0430,617.68,848.35,72.15,30.89,1.1,0.0
20230512:0530,621.71,864.65,74.2,31.74,0.83,0.0
20230512:0630,573.07,795.16,65.26,31.93,0.62,0.0
20230512:0730,443.03,592.68,52.51,31.86,1.38,0.0
20230512:0830,413.4,552.88,38.74,31.43,1.31,0.0
20230512:0930,200.64,279.54,24.62,30.4,0.9,0.0
20230512:1030,53.52,105.45,10.38,29.62,0.97,0.0
20230512:1130,0.0,0.0,-3.86,28.62,1.24,0.0
20230512:1230,0.0,0.0,0.0,27.75,0.9,0.0
20230512:1330,0.0,0.0,0.0,27.15,1.03,0.0
20230512:1430,0.0,0.0,0.0,26.41,0.97,0.0
20230512:1530,0.0,0.0,0.0,25.69,0.62,0.0
20230512:1630,0.0,0.0,0.0,25.31,0.48,0.0
20230512:1730,0.0,0.0,0.0,24.93,0.55,0.0
20230512:1830,0.0,0.0,0.0,24.64,0.48,0.0
20230512:1930,0.0,0.0,0.0,25.27,0.48,0.0
20230512:2030,0.0,0.0,0.0,24.77,1.17,0.0
20230512:2130,0.0,0.0,0.0,24.68,1.1,0.0
20230512:2230,0.0,0.0,0.0,24.47,1.03,0.0
20230512:2330,7.5,20.55,5.83,24.01,1.1,0.0
20230513:0030,187.8,265.92,20.06,24.96,0.69,0.0
20230513:0130,354.77,471.5,34.21,27.23,0.14,0.0
20230513:0230,503.04,678.24,48.1,28.47,0.28,0.0
20230513:0330,590.58,813.99,61.26,29.73,0.41,0.0
20230513:0430,616.15,851.6,71.95,30.66,0.76,0.0
20230513:0530,635.81,877.29,73.97,31.04,1.1,0.0
20230513:0630,604.57,824.99,65.11,31.18,1.45,0.0
20230513:0730,472.42,630.06,52.42,31.68,1.66,0.0
20230513:0830,373.25,493.7,38.69,30.63,1.66,0.0
20230513:0930,220.2,304.76,24.6,30.66,1.93,0.0
20230513:1030,45.98,91.77,10.38,30.19,1.79,0.0
20230513:1130,0.0,0.0,-3.84,29.3,1.1,0.0
20230513:1230,0.0,0.0,0.0,28.35,0.83,0.0
20230513:1330,0.0,0.0,0.0,27.59,0.76,0.0
20230513:1430,0.0,0.0,0.0,27.03,0.97,0.0
20230513:1530,0.0,0.0,0.0,26.74,1.24,0.0
20230513:1630,0.0,0.0,0.0,26.58,1.24,0.0
20230513:1730,0.0,0.0,0.0,26.13,1.31,0.0
20230513:1830,0.0,0.0,0.0,25.89,1.45,0.0
20230513:1930,0.0,0.0,0.0,25.66,1.24,0.0
20230513:2030,0.0,0.0,0.0,25.45,1.1,0.0
20230513:2130,0.0,0.0,0.0,25.0,0.62,0.0
20230513:2230,0.0,0.0,0.0,24.76,0.62,0.0
20230513:2330,10.48,25.35,5.84,24.82,1.1,0.0
20230514:0030,153.99,220.15,20.05,25.55,0.97,0.0
20230514:0130,350.79,463.5,34.18,27.45,0.69,0.0
20230514:0230,456.66,608.31,48.03,29.05,0.69,0.0
20230514:0330,591.89,808.34,61.14,30.16,0.9,0.0
20230514:0430,566.28,767.62,71.74,31.06,1.45,0.0
20230514:0530,493.7,654.75,73.74,31.15,2.14,0.0
20230514:0630,513.39,685.04,64.97,30.09,1.72,0.0
20230514:0730,410.38,542.65,52.34,30.98,1.93,0.0
20230514:0830,298.38,396.7,38.64,30.97,1.59,0.0
20230514:0930,174.77,244.27,24.57,30.51,1.45,0.0
20230514:1030,49.38,93.28,10.38,29.88,1.03,0.0
20230514:1130,0.0,0.0,-3.82,29.11,0.55,0.0
20230514:1230,0.0,0.0,0.0,28.16,0.76,0.0
20230514:1330,0.0,0.0,0.0,27.25,1.45,0.0
20230514:1430,0.0,0.0,0.0,26.64,1.45,0.0
20230514:1530,0.0,0.0,0.0,25.94,1.38,0.0
20230514:1630,0.0,0.0,0.0,25.27,1.45,0.0
20230514:1730,0.0,0.0,0.0,24.77,1.45,0.0
20230514:1830,0.0,0.0,0.0,24.45,1.38,0.0
20230514:1930,0.0,0.0,0.0,24.6,1.59,0.0
20230514:2030,0.0,0.0,0.0,24.32,1.59,0.0
20230514:2130,0.0,0.0,0.0,24.09,1.59,0.0
20230514:2230,0.0,0.0,0.0,23.84,1.52,0.0
20230514:2330,8.98,22.9,5.84,23.63,1.52,0.0
20230515:0030,191.0,269.51,20.04,24.88,1.03,0.0
20230515:0130,373.93,497.59,34.14,28.11,0.55,0.0
20230515:0230,492.05,658.5,47.96,29.85,1.03,0.0
20230515:0330,602.1,812.23,61.03,30.48,1.72,0.0
20230515:0430,665.14,908.03,71.54,30.91,1.93,0.0
20230515:0530,566.45,757.87,73.51,31.19,2.21,0.0
20230515:0630,556.19,741.11,64.83,29.88,1.93,0.0
20230515:0730,421.8,556.98,52.25,30.48,1.59,0.0
20230515:0830,339.2,448.43,38.59,30.42,1.79,0.0
20230515:0930,173.8,241.61,24.55,29.44,1.86,0.0
20230515:1030,31.57,62.37,10.38,28.51,0.28,0.0
20230515:1130,0.0,0.0,-3.8,28.07,0.69,0.0
20230515:1230,0.0,0.0,0.0,27.6,1.03,0.0
20230515:1330,0.0,0.0,0.0,26.86,1.17,0.0
20230515:1430,0.0,0.0,0.0,26.22,1.17,0.0
20230515:1530,0.0,0.0,0.0,25.79,1.17,0.0
20230515:1630,0.0,0.0,0.0,25.33,1.17,0.0
20230515:1730,0.0,0.0,0.0,25.03,1.1,0.0
20230515:1830,0.0,0.0,0.0,24.77,1.03,0.0
20230515:1930,0.0,0.0,0.0,24.88,1.24,0.0
20230515:2030,0.0,0.0,0.0,24.67,0.28,0.0
20230515:2130,0.0,0.0,0.0,24.64,0.55,0.0
20230515:2230,0.0,0.0,0.0,24.58,1.31,0.0
20230515:2330,9.15,23.25,5.85,24.52,1.17,0.0
20230516:0030,102.96,148.37,20.02,24.72,1.17,0.0
20230516:0130,248.09,326.28,34.1,25.91,1.1,0.0
20230516:0230,403.37,528.19,47.89,27.35,1.03,0.0
20230516:0330,533.52,710.57,60.91,28.88,1.52,0.0
20230516:0430,587.38,790.06,71.35,29.94,1.79,0.0
20230516:0530,555.96,748.14,73.29,30.61,1.93,0.0
20230516:0630,631.87,852.77,64.69,30.71,2.14,0.0
20230516:0730,566.66,753.66,52.18,31.63,2.76,0.0
20230516:0830,363.13,477.65,38.55,31.36,2.62,0.0
20230516:0930,232.22,319.56,24.53,30.64,2.41,0.0
20230516:1030,62.0,114.6,10.38,30.04,1.66,0.0
20230516:1130,0.0,0.0,-3.78,29.15,1.24,0.0
20230516:1230,0.0,0.0,0.0,28.1,0.69,0.0
20230516:1330,0.0,0.0,0.0,27.55,0.21,0.0
20230516:1430,0.0,0.0,0.0,26.5,0.76,0.0
20230516:1530,0.0,0.0,0.0,25.56,1.17,0.0
20230516:1630,0.0,0.0,0.0,25.01,1.31,0.0
20230516:1730,0.0,0.0,0.0,24.49,1.31,0.0
20230516:1830,0.0,0.0,0.0,24.08,1.17,0.0
20230516:1930,0.0,0.0,0.0,25.05,1.03,0.0
20230516:2030,0.0,0.0,0.0,24.97,0.83,0.0
20230516:2130,0.0,0.0,0.0,24.84,0.9,0.0
20230516:2230,0.0,0.0,0.0,24.75,0.69,0.0
20230516:2330,8.94,22.95,5.85,24.89,0.55,0.0
20230517:0030,124.01,179.38,20.0,25.41,0.28,0.0
20230517:0130,271.22,358.66,34.05,27.05,0.69,0.0
20230517:0230,418.88,548.68,47.82,28.06,1.31,0.0
20230517:0330,503.45,669.63,60.79,28.97,1.31,0.0
20230517:0430,471.55,625.31,71.15,29.68,1.59,0.0
20230517:0530,454.98,600.07,73.07,29.86,2.14,0.0
20230517:0630,521.95,686.97,64.56,28.94,2.14,0.0
20230517:0730,450.63,599.83,52.1,30.09,1.31,0.0
20230517:0830,368.89,486.75,38.51,30.64,2.0,0.0
20230517:0930,204.11,282.72,24.52,30.51,2.28,0.0
20230517:1030,51.19,99.9,10.38,30.07,2.07,0.0
20230517:1130,0.0,0.0,-3.76,29.05,1.38,0.0
20230517:1230,0.0,0.0,0.0,28.01,1.17,0.0
20230517:1330,0.0,0.0,0.0,27.17,0.9,0.0
20230517:1430,0.0,0.0,0.0,26.58,0.62,0.0
20230517:1530,0.0,0.0,0.0,25.94,1.03,0.0
20230517:1630,0.0,0.0,0.0,25.57,0.97,0.0
20230517:1730,0.0,0.0,0.0,25.17,1.03,0.0
20230517:1830,0.0,0.0,0.0,24.64,0.97,0.0
20230517:1930,0.0,0.0,0.0,25.07,0.9,0.0
20230517:2030,0.0,0.0,0.0,25.13,0.34,0.0
20230517:2130,0.0,0.0,0.0,24.75,0.55,0.0
20230517:2230,0.0,0.0,0.0,24.69,0.14,0.0
20230517:2330,13.11,29.35,5.85,24.55,0.41,0.0
20230518:0030,155.79,219.97,19.98,25.22,0.21,0.0
20230518:0130,257.52,338.58,34.01,26.58,1.59,0.0
20230518:0230,388.65,504.66,47.74,27.59,2.28,0.0
20230518:0330,485.52,635.59,60.67,28.3,2.07,0.0
20230518:0430,511.02,672.85,70.96,29.04,2.34,0.0
20230518:0530,583.92,775.56,72.86,29.3,2.34,0.0
20230518:0630,413.59,541.32,64.43,29.85,2.55,0.0
20230518:0730,430.16,561.89,52.03,29.43,2.62,0.0
20230518:0830,407.24,529.53,38.47,29.67,3.52,0.0
20230518:0930,198.51,272.33,24.5,29.26,3.86,0.0
20230518:1030,52.23,100.15,10.39,27.83,2.9,0.0
20230518:1130,0.0,0.0,-3.73,27.1,1.38,0.0
20230518:1230,0.0,0.0,0.0,26.43,0.62,0.0
20230518:1330,0.0,0.0,0.0,25.76,0.41,0.0
20230518:1430,0.0,0.0,0.0,25.55,0.21,0.0
20230518:1530,0.0,0.0,0.0,24.97,0.9,0.0
20230518:1630,0.0,0.0,0.0,24.48,0.76,0.0
20230518:1730,0.0,0.0,0.0,24.3,0.83,0.0
20230518:1830,0.0,0.0,0.0,23.97,1.03,0.0
20230518:1930,0.0,0.0,0.0,24.72,1.03,0.0
20230518:2030,0.0,0.0,0.0,24.35,0.9,0.0
20230518:2130,0.0,0.0,0.0,24.19,0.9,0.0
20230518:2230,0.0,0.0,0.0,24.02,1.17,0.0
20230518:2330,18.59,37.2,5.85,23.76,1.24,0.0
20230519:0030,162.64,228.56,19.95,24.77,0.62,0.0
20230519:0130,307.24,408.35,33.96,27.27,0.34,0.0
20230519:0230,472.71,631.26,47.67,28.43,0.76,0.0
20230519:0330,576.67,777.75,60.55,29.44,1.45,0.0
20230519:0430,602.48,817.57,70.77,30.15,1.79,0.0
20230519:0530,622.79,846.66,72.66,30.56,2.0,0.0
20230519:0630,563.21,755.87,64.31,30.72,2.34,0.0
20230519:0730,358.07,472.17,51.96,30.96,2.41,0.0
20230519:0830,234.5,313.76,38.43,30.67,3.03,0.0
20230519:0930,92.78,135.74,24.49,29.36,2.34,0.0
20230519:1030,20.44,40.85,10.4,28.52,2.07,0.0
20230519:1130,0.0,0.0,-3.7,27.75,1.72,0.0
20230519:1230,0.0,0.0,0.0,27.11,1.66,0.0
20230519:1330,0.0,0.0,0.0,26.62,1.31,0.0
20230519:1430,0.0,0.0,0.0,26.39,0.9,0.0
20230519:1530,0.0,0.0,0.0,26.14,0.48,0.0
20230519:1630,0.0,0.0,0.0,25.89,1.03,0.0
20230519:1730,0.0,0.0,0.0,25.66,1.45,0.0
20230519:1830,0.0,0.0,0.0,25.41,1.03,0.0
20230519:1930,0.0,0.0,0.0,25.46,1.31,0.0
20230519:2030,0.0,0.0,0.0,25.26,1.31,0.0
20230519:2130,0.0,0.0,0.0,24.97,0.69,0.0
20230519:2230,0.0,0.0,0.0,24.74,0.76,0.0
20230519:2330,12.25,28.05,5.84,24.64,0.76,0.0
20230520:0030,125.67,177.86,19.93,25.11,0.76,0.0
20230520:0130,307.91,406.69,33.91,26.51,0.55,0.0
20230520:0230,503.54,673.48,47.59,28.14,0.69,0.0
20230520:0330,525.06,703.26,60.43,29.58,1.24,0.0
20230520:0430,640.19,865.63,70.58,30.29,2.0,0.0
20230520:0530,668.63,905.91,72.46,30.81,2.34,0.0
20230520:0630,630.24,852.52,64.19,31.08,2.21,0.0
20230520:0730,558.38,743.76,51.89,31.76,2.9,0.0
20230520:0830,382.75,504.6,38.4,31.28,2.9,0.0
20230520:0930,212.48,292.39,24.48,30.58,2.34,0.0
20230520:1030,54.23,94.4,10.41,29.81,1.52,0.0
20230520:1130,0.0,0.0,-3.67,28.84,1.66,0.0
20230520:1230,0.0,0.0,0.0,27.72,1.38,0.0
20230520:1330,0.0,0.0,0.0,27.02,0.83,0.0
20230520:1430,0.0,0.0,0.0,26.73,0.62,0.0
20230520:1530,0.0,0.0,0.0,26.19,0.83,0.0
20230520:1630,0.0,0.0,0.0,25.87,0.9,0.0
20230520:1730,0.0,0.0,0.0,25.61,1.17,0.0
20230520:1830,0.0,0.0,0.0,25.46,1.52,0.0
20230520:1930,0.0,0.0,0.0,25.47,1.03,0.0
20230520:2030,0.0,0.0,0.0,25.18,1.24,0.0
20230520:2130,0.0,0.0,0.0,24.89,1.17,0.0
20230520:2230,0.0,0.0,0.0,24.47,0.76,0.0
20230520:2330,9.79,24.25,5.84,24.46,0.97,0.0
20230521:0030,127.3,181.84,19.9,24.67,0.69,0.0
20230521:0130,319.37,419.12,33.87,25.58,0.55,0.0
20230521:0230,418.38,556.88,47.52,27.36,0.14,0.0
20230521:0330,511.18,687.63,60.31,28.64,0.83,0.0
20230521:0430,566.05,763.88,70.4,29.57,1.52,0.0
20230521:0530,562.44,754.18,72.27,29.97,2.0,0.0
20230521:0630,536.87,714.42,64.07,30.03,2.34,0.0
20230521:0730,425.01,563.55,51.83,30.1,1.72,0.0
20230521:0830,259.25,345.02,38.37,29.9,1.45,0.0
20230521:0930,137.6,194.16,24.47,29.62,1.38,0.0
20230521:1030,38.19,69.32,10.42,29.14,1.45,0.0
20230521:1130,0.0,0.0,-3.64,28.22,1.66,0.0
20230521:1230,0.0,0.0,0.0,27.29,1.52,0.0
20230521:1330,0.0,0.0,0.0,26.86,1.03,0.0
20230521:1430,0.0,0.0,0.0,26.49,0.69,0.0
20230521:1530,0.0,0.0,0.0,26.21,0.34,0.0
20230521:1630,0.0,0.0,0.0,25.76,0.21,0.0
20230521:1730,0.0,0.0,0.0,25.21,0.48,0.0
20230521:1830,0.0,0.0,0.0,24.6,0.76,0.0
20230521:1930,0.0,0.0,0.0,24.48,0.97,0.0
20230521:2030,0.0,0.0,0.0,23.97,0.83,0.0
20230521:2130,0.0,0.0,0.0,23.49,1.03,0.0
20230521:2230,0.0,0.0,0.0,23.43,1.24,0.0
20230521:2330,16.27,33.8,5.83,23.07,1.24,0.0
20230522:0030,181.91,255.41,19.87,23.72,1.17,0.0
20230522:0130,363.93,479.98,33.81,26.65,0.69,0.0
20230522:0230,501.99,667.87,47.44,28.55,0.97,0.0
20230522:0330,617.91,831.26,60.19,29.55,1.79,0.0
20230522:0430,652.79,879.27,70.22,30.17,2.34,0.0
20230522:0530,632.46,849.42,72.08,30.48,2.34,0.0
20230522:0630,620.47,831.26,63.96,30.63,2.48,0.0
20230522:0730,550.8,731.26,51.77,31.36,2.76,0.0
20230522:0830,366.29,481.4,38.34,30.99,3.03,0.0
20230522:0930,221.54,303.92,24.47,30.23,2.83,0.0
20230522:1030,50.83,92.63,10.43,29.47,2.41,0.0
20230522:1130,0.0,0.0,-3.61,28.33,2.14,0.0
20230522:1230,0.0,0.0,0.0,27.36,1.93,0.0
20230522:1330,0.0,0.0,0.0,26.66,1.59,0.0
20230522:1430,0.0,0.0,0.0,26.14,1.17,0.0
20230522:1530,0.0,0.0,0.0,25.62,0.83,0.0
20230522:1630,0.0,0.0,0.0,25.21,0.9,0.0
20230522:1730,0.0,0.0,0.0,24.92,1.1,0.0
20230522:1830,0.0,0.0,0.0,24.7,1.17,0.0
20230522:1930,0.0,0.0,0.0,25.76,0.48,0.0
20230522:2030,0.0,0.0,0.0,25.24,0.62,0.0
20230522:2130,0.0,0.0,0.0,24.79,0.76,0.0
20230522:2230,0.0,0.0,0.0,24.37,0.9,0.0
20230522:2330,13.76,30.3,5.82,24.44,0.83,0.0
20230523:0030,140.78,200.17,19.84,25.02,0.55,0.0
20230523:0130,309.31,407.89,33.76,26.6,0.76,0.0
20230523:0230,443.33,582.82,47.36,27.69,1.31,0.0
20230523:0330,554.89,743.35,60.07,28.68,1.38,0.0
20230523:0430,624.2,845.19,70.05,29.6,1.72,0.0
20230523:0530,607.94,817.4,71.9,30.2,2.21,0.0
20230523:0630,585.54,778.13,63.85,30.48,2.76,0.0
20230523:0730,489.51,643.34,51.71,30.57,2.62,0.0
20230523:0830,341.39,447.76,38.31,30.51,2.76,0.0
20230523:0930,213.69,293.12,24.46,29.96,3.03,0.0
20230523:1030,52.35,97.47,10.45,29.21,2.83,0.0
20230523:1130,0.0,0.0,-3.58,28.27,2.34,0.0
20230523:1230,0.0,0.0,0.0,27.24,2.28,0.0
20230523:1330,0.0,0.0,0.0,26.61,1.31,0.0
20230523:1430,0.0,0.0,0.0,26.25,0.69,0.0
20230523:1530,0.0,0.0,0.0,25.78,1.1,0.0
20230523:1630,0.0,0.0,0.0,25.55,1.03,0.0
20230523:1730,0.0,0.0,0.0,25.47,0.69,0.0
20230523:1830,0.0,0.0,0.0,25.33,0.69,0.0
20230523:1930,0.0,0.0,0.0,24.98,0.28,0.0
20230523:2030,0.0,0.0,0.0,24.88,0.41,0.0
20230523:2130,0.0,0.0,0.0,24.76,0.41,0.0
20230523:2230,0.0,0.0,0.0,24.66,0.48,0.0
20230523:2330,13.08,29.3,5.8,24.65,0.83,0.0
20230524:0030,152.41,216.01,19.8,25.29,0.69,0.0
20230524:0130,330.51,437.11,33.71,26.76,0.41,0.0
20230524:0230,462.84,608.89,47.28,28.17,1.31,0.0
20230524:0330,534.35,707.95,59.96,29.02,1.72,0.0
20230524:0430,532.43,707.73,69.87,29.64,2.14,0.0
20230524:0530,564.33,752.07,71.73,29.51,2.21,0.0
20230524:0630,615.97,824.31,63.75,30.09,2.21,0.0
20230524:0730,499.65,663.23,51.66,31.09,2.14,0.0
20230524:0830,368.23,484.53,38.29,30.87,2.41,0.0
20230524:0930,215.88,297.6,24.46,30.31,2.83,0.0
20230524:1030,59.1,113.53,10.47,29.68,2.41,0.0
20230524:1130,0.0,0.0,-3.54,28.83,1.79,0.0
20230524:1230,0.0,0.0,0.0,28.0,1.17,0.0
20230524:1330,0.0,0.0,0.0,27.14,0.83,0.0
20230524:1430,0.0,0.0,0.0,26.48,0.83,0.0
20230524:1530,0.0,0.0,0.0,25.86,1.03,0.0
20230524:1630,0.0,0.0,0.0,25.47,1.17,0.0
20230524:1730,0.0,0.0,0.0,25.14,1.17,0.0
20230524:1830,0.0,0.0,0.0,24.75,1.03,0.0
20230524:1930,0.0,0.0,0.0,25.04,1.31,0.0
20230524:2030,0.0,0.0,0.0,24.79,1.31,0.0
20230524:2130,0.0,0.0,0.0,24.52,1.03,0.0
20230524:2230,0.0,0.0,0.0,24.59,0.97,0.0
20230524:2330,9.86,24.4,5.79,24.96,0.69,0.0
20230525:0030,153.36,219.64,19.77,25.71,0.55,0.0
20230525:0130,304.68,402.32,33.65,27.89,1.1,0.0
20230525:0230,456.74,599.04,47.2,28.8,1.66,0.0
20230525:0330,565.56,747.73,59.84,29.51,2.28,0.0
20230525:0430,624.09,831.42,69.71,29.87,2.55,0.0
20230525:0530,642.04,867.77,71.56,30.24,2.21,0.0
20230525:0630,599.75,802.91,63.65,30.69,2.21,0.0
20230525:0730,541.59,724.15,51.61,31.44,2.07,0.0
20230525:0830,407.06,541.06,38.27,31.33,1.93,0.0
20230525:0930,220.37,305.9,24.47,31.13,1.79,0.0
20230525:1030,57.61,108.64,10.49,30.4,1.79,0.0
20230525:1130,0.0,0.0,-3.51,29.3,1.52,0.0
20230525:1230,0.0,0.0,0.0,28.16,1.1,0.0
20230525:1330,0.0,0.0,0.0,27.16,0.83,0.0
